OLD,NEW
button1,button9
button2,button10
button3,button11
button4,button12
button5,button13
button6,button14
button7,button15
button8,button16
button9,button17
button10,button18
button11,button19
button12,button20
button13,button2
button14,button1
button15,button4
button16,button3
button17,button5
button18,button6
button19,button7
button20,button8
button21,button22
button22,button21
button23,button24
button24,button23
button25,button26
button26,button25
button27,button28
button28,button27
button29,button30
button30,button29
button31,button32
button32,button31
