OLD,NEW
button14,button15
button15,button14
button23,button24
button24,button25
button25,button26
button26,button23
button28,button29
button29,button30
button30,button31
button31,button28
button35,button36
button36,button38
button37,button40
button38,button42
button39,button43
button40,button44
button41,button45
button42,button46
button43,button47
button44,button48
button45,button49
button46,button50
button47,button51
button48,button52
button49,button53
button50,button54
button51,button55
button52,button56
button53,button57
button54,button58
button55,button59
rotz,z
roty,y
rotx,x
x,rotx
y,roty
z,rotz
