OLD,NEW
button14,button15
button15,button14
button23,button24
button24,button25
button25,button26
button26,button23
button28,button29
button29,button30
button30,button31
button31,button28
button35,button36
button36,button38
button37,button40
button38,button42
button39,button43
button40,button44
button41,button45
button42,button46
button43,button47
button44,button48
button45,button49
button46,button50
button47,button51
button48,button52
button49,button53
button50,button54
button51,button55
button52,button56
button53,button57
button54,button58
button55,button59
button56,button60
button57,button61
button58,button62
button59,button63
button60,button64
button61,button65
button62,button66
button63,button67
button64,button68
button65,button69
button66,button70
button67,button71
button68,button72
button69,button73
button70,button74
button71,button75
button72,button76
button73,button77
button74,button78
button75,button79
button76,button80
button77,button81
button78,button82
button79,button83
rotz,z
roty,y
rotx,x
x,rotx
y,roty
z,rotz
