OLD,NEW
button14,button15
button15,button14
button23,button24
button24,button25
button25,button26
button26,button23
button28,button29
button29,button30
button30,button31
button31,button28
button35,button36
button36,button38
button37,button40
button38,button42
button39,button43
button40,button44
button41,button45
button42,button46
button43,button47
button44,button48
button45,button49
button46,button50
button47,button51
button48,button52
button49,button53
button50,button54
button51,button55
button52,button56
button53,button57
button54,button58
button55,button59
button56,button102
button57,button103
button58,button104
button59,button105
button60,button106
button61,button107
button62,button108
button63,button109
button64,button110
button65,button111
button66,button112
button67,button113
button68,button114
button69,button115
button70,button116
button71,button117
button72,button118
button73,button119
button74,button120
button75,button121
button76,button122
button77,button123
button78,button124
button79,button125
button80,button63
button81,button64
button82,button65
button83,button66
button84,button96
button85,button97
button86,button98
button87,button99
button88,button100
button89,button101
button90,button76
button91,button77
button92,button78
button93,button79
button94,button80
button95,button81
button96,button82
button97,button83
button98,button84
button99,button85
button100,button86
button101,button87
button102,button89
button103,button88
button104,button91
button105,button90
button106,button92
button107,button93
button108,button94
button109,button95
button110,button67
button111,button68
button112,button69
button113,button70
button114,button71
button115,button72
button116,button73
button117,button74
button118,button75
button119,button61
button120,button60
button121,button62
rotz,z
roty,y
rotx,x
x,rotx
y,roty
z,rotz
