OLD,NEW
button1,button2
button2,button1
button5,button7
button6,button8
button7,button5
button8,button6
button10,button2
button11,
button13,
button14,button11
button15,button13
button16,button14
button17,button15
button18,button16
button19,button18
button20,button19
button21,button20
button22,button17
button23,button21
button24,button22
button25,button23
button26,button24
button27,button25
button28,button26
button29,button27
button30,button28
button31,button29
button32,button30
button33,button31
button34,button44
button35,button45
button36,button46
button37,button47
button38,button48
button39,button49
button40,button38
button41,button32
button42,button34
button43,button33
button44,button35
button45,button37
button46,button36
y,rY
x,rX
rX,X
rY,Y
rZ,Z
