OLD,NEW
js2_button14,js2_button15
js2_button15,js2_button14
js2_button23,js2_button24
js2_button24,js2_button25
js2_button25,js2_button26
js2_button26,js2_button23
js2_button28,js2_button29
js2_button29,js2_button30
js2_button30,js2_button31
js2_button31,js2_button28
js2_button35,js2_button36
js2_button36,js2_button38
js2_button37,js2_button40
js2_button38,js2_button42
js2_button39,js2_button43
js2_button40,js2_button44
js2_button41,js2_button45
js2_button42,js2_button46
js2_button43,js2_button47
js2_button44,js2_button48
js2_button45,js2_button49
js2_button46,js2_button50
js2_button47,js2_button51
js2_button48,js2_button52
js2_button49,js2_button53
js2_button50,js2_button54
js2_button51,js2_button55
js2_button52,js2_button56
js2_button53,js2_button57
js2_button54,js2_button58
js2_button55,js2_button59
js2_button56,js2_button102
js2_button57,js2_button103
js2_button58,js2_button104
js2_button59,js2_button105
js2_button60,js2_button106
js2_button61,js2_button107
js2_button62,js2_button108
js2_button63,js2_button109
js2_button64,js2_button110
js2_button65,js2_button111
js2_button66,js2_button112
js2_button67,js2_button113
js2_button68,js2_button114
js2_button69,js2_button115
js2_button70,js2_button116
js2_button71,js2_button117
js2_button72,js2_button118
js2_button73,js2_button119
js2_button74,js2_button120
js2_button75,js2_button121
js2_button76,js2_button122
js2_button77,js2_button123
js2_button78,js2_button124
js2_button79,js2_button125
js2_button80,js2_button63
js2_button81,js2_button64
js2_button82,js2_button65
js2_button83,js2_button66
js2_button84,js2_button96
js2_button85,js2_button97
js2_button86,js2_button98
js2_button87,js2_button99
js2_button88,js2_button100
js2_button89,js2_button101
js2_button90,js2_button76
js2_button91,js2_button77
js2_button92,js2_button78
js2_button93,js2_button79
js2_button94,js2_button80
js2_button95,js2_button81
js2_button96,js2_button82
js2_button97,js2_button83
js2_button98,js2_button84
js2_button99,js2_button85
js2_button100,js2_button86
js2_button101,js2_button87
js2_button102,js2_button89
js2_button103,js2_button88
js2_button104,js2_button91
js2_button105,js2_button90
js2_button106,js2_button92
js2_button107,js2_button93
js2_button108,js2_button94
js2_button109,js2_button95
js2_button110,js2_button67
js2_button111,js2_button68
js2_button112,js2_button69
js2_button113,js2_button70
js2_button114,js2_button71
js2_button115,js2_button72
js2_button116,js2_button73
js2_button117,js2_button74
js2_button118,js2_button75
js2_button119,js2_button61
js2_button120,js2_button60
js2_button121,js2_button62
js2_rotz,js2_z
js2_roty,js2_y
js2_rotx,js2_x
js2_x,js2_rotx
js2_y,js2_roty
js2_z,js2_rotz
js1_button10,js1_button12
js1_button12,js1_button10
js1_button13,js1_button18
js1_button14,js1_button13
js1_button15,js1_button14
js1_button16,js1_button17
js1_button17,js1_button16
js1_button18,js1_button15
js1_button21,js1_button22
js1_button22,js1_button21
js1_button23,js1_button26
js1_button24,js1_button27
js1_button25,js1_button30
js1_button26,js1_button29
js1_button27,js1_button28
js1_button28,js1_button23
js1_button29,js1_button24
js1_button30,js1_button25
js1_z,js1_rotz
